Municipio;Total;Hombres;Mujeres;TOTAL <16;Hombres <16;Mujeres <16;TOTAL 16-64;Hombres 16-64;Mujeres 16-64;TOTAL +65;Hombres +65;Mujeres +65;Codigo Municipio
Abanilla;6.047;3.064;2.983;792;416;376;3.680;1.922;1.758;1.575;726;849;30001
Abarán;13.080;6.525;6.555;2.082;1.025;1.057;8.690;4.501;4.189;2.308;999;1.309;30002
Águilas;35.910;17.917;17.993;6.118;3.127;2.991;23.534;11.927;11.607;6.258;2.863;3.395;30003
Albudeite;1.393;707;686;214;104;110;909;486;423;270;117;153;30004
Alcantarilla;42.619;21.127;21.492;7.780;4.020;3.760;28.618;14.408;14.210;6.221;2.699;3.522;30005
Alcázares (Los);16.958;8.732;8.226;3.119;1.663;1.456;11.079;5.784;5.295;2.760;1.285;1.475;30902
Aledo;1.084;539;545;124;70;54;683;346;337;277;123;154;30006
Alguazas;9.819;5.056;4.763;1.985;1.021;964;6.464;3.408;3.056;1.370;627;743;30007
Alhama de Murcia;22.475;11.432;11.043;4.007;2.106;1.901;14.974;7.746;7.228;3.494;1.580;1.914;30008
Archena;19.492;10.207;9.285;3.373;1.765;1.608;13.194;7.122;6.072;2.925;1.320;1.605;30009
Beniel;11.508;6.013;5.495;2.274;1.195;1.079;7.736;4.155;3.581;1.498;663;835;30010
Blanca;6.573;3.368;3.205;1.053;523;530;4.320;2.310;2.010;1.200;535;665;30011
Bullas;11.609;5.818;5.791;1.746;912;834;7.645;3.911;3.734;2.218;995;1.223;30012
Calasparra;10.118;5.138;4.980;1.502;787;715;6.625;3.449;3.176;1.991;902;1.089;30013
Campos del Río;2.064;986;1.078;309;126;183;1.347;688;659;408;172;236;30014
Caravaca de la Cruz;25.659;12.837;12.822;4.085;2.178;1.907;16.872;8.559;8.313;4.702;2.100;2.602;30015
Cartagena;215.826;107.467;108.359;38.575;19.950;18.625;139.697;71.211;68.486;37.554;16.306;21.248;30016
Cehegín;14.935;7.470;7.465;2.138;1.064;1.074;9.769;5.012;4.757;3.028;1.394;1.634;30017
Ceutí;12.286;6.225;6.061;2.402;1.214;1.188;8.436;4.355;4.081;1.448;656;792;30018
Cieza;35.179;17.703;17.476;6.035;3.116;2.919;23.226;12.027;11.199;5.918;2.560;3.358;30019
Fortuna;10.665;5.664;5.001;1.925;1.046;879;7.076;3.795;3.281;1.664;823;841;30020
Fuente Álamo;17.253;8.970;8.283;3.400;1.773;1.627;11.498;6.090;5.408;2.355;1.107;1.248;30021
Jumilla;26.107;13.589;12.518;4.539;2.389;2.150;17.801;9.511;8.290;3.767;1.689;2.078;30022
Librilla;5.394;2.758;2.636;984;527;457;3.489;1.820;1.669;921;411;510;30023
Lorca;95.726;48.986;46.740;17.477;9.096;8.381;63.661;33.479;30.182;14.588;6.411;8.177;30024
Lorquí;7.307;3.695;3.612;1.323;670;653;4.945;2.566;2.379;1.039;459;580;30025
Mazarrón;33.377;17.219;16.158;5.255;2.720;2.535;21.292;11.115;10.177;6.830;3.384;3.446;30026
Molina de Segura;73.593;36.726;36.867;14.357;7.467;6.890;49.599;24.879;24.720;9.637;4.380;5.257;30027
Moratalla;7.807;3.975;3.832;995;544;451;4.935;2.565;2.370;1.877;866;1.011;30028
Mula;17.124;8.783;8.341;2.919;1.492;1.427;11.429;6.065;5.364;2.776;1.226;1.550;30029
Murcia;459.778;225.376;234.402;80.355;41.260;39.095;305.790;152.820;152.970;73.633;31.296;42.337;30030
Ojós;501;263;238;36;17;19;328;184;144;137;62;75;30031
Pliego;3.913;2.032;1.881;641;350;291;2.490;1.335;1.155;782;347;435;30032
Puerto Lumbreras;16.219;8.274;7.945;3.051;1.536;1.515;10.590;5.578;5.012;2.578;1.160;1.418;30033
Ricote;1.281;686;595;117;73;44;812;447;365;352;166;186;30034
San Javier;33.489;16.812;16.677;6.518;3.385;3.133;21.862;11.039;10.823;5.109;2.388;2.721;30035
San Pedro del Pinatar;26.465;13.325;13.140;5.216;2.675;2.541;17.215;8.854;8.361;4.034;1.796;2.238;30036
Santomera;16.116;8.087;8.029;3.191;1.626;1.565;10.775;5.511;5.264;2.150;950;1.200;30901
Torre-Pacheco;37.039;19.123;17.916;8.057;4.189;3.868;24.503;12.810;11.693;4.479;2.124;2.355;30037
Torres de Cotillas (Las);21.907;11.107;10.800;4.117;2.134;1.983;14.650;7.527;7.123;3.140;1.446;1.694;30038
Totana;32.835;16.904;15.931;5.910;3.024;2.886;22.314;11.787;10.527;4.611;2.093;2.518;30039
Ulea;866;446;420;111;60;51;554;292;262;201;94;107;30040
Unión (La);20.560;10.428;10.132;4.396;2.315;2.081;13.387;6.889;6.498;2.777;1.224;1.553;30041
Villanueva del Río Segura;3.271;1.654;1.617;581;302;279;2.226;1.165;1.061;464;187;277;30042
Yecla;35.052;17.618;17.434;6.233;3.094;3.139;23.050;11.901;11.149;5.769;2.623;3.146;30043
