iter	TotalF1	MultiClass
0	0.22840946	1.791623228
1	0.2259474365	1.791515219
2	0.2795996773	1.791366921
3	0.2863463693	1.791227414
4	0.2817491904	1.791106424
5	0.2803153773	1.791009775
6	0.2774951558	1.790905228
7	0.2851122347	1.790794637
8	0.2919511069	1.790676235
9	0.2844337302	1.790503525
10	0.2850399749	1.790401081
11	0.2785115321	1.790296965
12	0.2861482949	1.790198831
13	0.2820452258	1.790044451
14	0.2869682892	1.789933621
15	0.2841276455	1.789780697
16	0.2798207211	1.789628965
17	0.2817845424	1.789478338
18	0.284542735	1.789339589
19	0.2952796025	1.789205261
20	0.2948117322	1.789057564
21	0.2960329148	1.788929987
22	0.2961117653	1.788773863
23	0.2941446279	1.788611539
24	0.2875096125	1.788466222
25	0.2961523139	1.788349704
26	0.2993667777	1.788249455
27	0.3031545779	1.788123058
28	0.3005798003	1.788008064
29	0.300586589	1.787822645
30	0.2945148661	1.787652594
31	0.2926253897	1.787508663
32	0.2836753929	1.787391863
33	0.2848325013	1.787230225
34	0.2927210677	1.787083734
35	0.2846316795	1.786956798
36	0.2852366936	1.786843638
37	0.2878571952	1.786712043
38	0.2835407402	1.78657994
39	0.2857009965	1.786456256
40	0.2878074777	1.786338044
41	0.2877365117	1.786200477
42	0.2863287897	1.78612463
43	0.2845533491	1.785997603
44	0.2847876714	1.785904876
45	0.2864418668	1.785735904
46	0.2849377953	1.785617605
47	0.28478087	1.785479698
48	0.2871888195	1.785351822
49	0.2874153401	1.785248148
50	0.2860391474	1.785128022
51	0.2867666962	1.785013376
52	0.2893950643	1.784888446
53	0.2893120547	1.784763891
54	0.2914591095	1.784588409
55	0.2884758044	1.784470177
56	0.2900577539	1.784329036
57	0.2900573862	1.784231647
58	0.2885579806	1.784122287
59	0.2893113075	1.78402928
60	0.2886012168	1.783914697
61	0.2841802645	1.783774719
62	0.2874100253	1.783632186
63	0.2891865409	1.783521431
64	0.287020813	1.783395807
65	0.2867870769	1.783255644
66	0.2852997039	1.783127224
67	0.2884536658	1.782992285
68	0.2885138571	1.78288297
69	0.2899115983	1.782755211
70	0.2861994333	1.782648103
71	0.2856338826	1.782508881
72	0.2879853393	1.782423189
73	0.2872678939	1.782286513
74	0.2863740632	1.782183772
75	0.2879853393	1.782064134
76	0.2858917665	1.781939793
77	0.287246241	1.781791657
78	0.2858184718	1.781651359
79	0.2887353766	1.781535731
80	0.2853767829	1.781406006
81	0.2853904538	1.781255603
82	0.2843584734	1.781114663
83	0.2829269101	1.781031542
84	0.2851620045	1.780886519
85	0.2874580715	1.780774008
86	0.2851801381	1.780685456
87	0.2840058614	1.780549478
88	0.2858583492	1.780449321
89	0.2855438668	1.780313331
90	0.2835996459	1.780178753
91	0.2843989912	1.780071983
92	0.2830443005	1.779935609
93	0.2823017117	1.779801644
94	0.2823017117	1.779721325
95	0.2801571215	1.779587733
96	0.2819326466	1.779459786
97	0.2818726984	1.779335308
98	0.2830850524	1.779206603
99	0.283221064	1.779117501
100	0.2832288288	1.778995255
101	0.2832288288	1.77889773
102	0.2832377802	1.778811169
103	0.286383617	1.778692891
104	0.2877597758	1.778517076
105	0.2875678599	1.77836663
106	0.2853744835	1.77825042
107	0.2847781112	1.778111688
108	0.2844858073	1.777980401
109	0.2846028786	1.777886839
110	0.2847024457	1.777768253
111	0.2853576054	1.777646401
112	0.2853576054	1.777520548
113	0.2853431487	1.777363305
114	0.2853431487	1.777277552
115	0.2853738744	1.777167384
116	0.284308444	1.777080572
117	0.2825972635	1.776949371
118	0.282719793	1.776850883
119	0.2834872835	1.776769708
120	0.2834551394	1.776665193
121	0.2834875719	1.776559185
122	0.2842591768	1.776452
123	0.2834622718	1.776334865
124	0.2835106818	1.776234328
125	0.2826582733	1.776134669
126	0.2835017996	1.776023282
127	0.2826582733	1.775887598
128	0.2818870509	1.775777146
129	0.2818870509	1.775669042
130	0.2818870509	1.775543513
131	0.2818870509	1.775409259
132	0.2818444093	1.775271815
133	0.2826037719	1.775164247
134	0.2817603272	1.775039584
135	0.2824622029	1.774917964
136	0.2824911056	1.7747972
137	0.2824694416	1.7746767
138	0.282436577	1.774563327
139	0.282436577	1.774487418
140	0.282436577	1.774373988
141	0.282436577	1.774238977
142	0.2816613038	1.774120393
143	0.2816297748	1.77399361
144	0.2834585808	1.773899709
145	0.284270171	1.773802508
146	0.284270171	1.77367917
147	0.2835655328	1.773576614
148	0.2825125789	1.77347326
149	0.2832950516	1.773347935
150	0.2832950516	1.773262606
151	0.2841526804	1.773127836
152	0.2840367095	1.773002914
153	0.2839882055	1.772866074
154	0.286431613	1.77273055
155	0.2874825331	1.772600667
156	0.2874921849	1.772485631
157	0.285348737	1.772392321
158	0.2853845471	1.772264913
159	0.2861851668	1.772139453
160	0.2854141785	1.772014583
161	0.2853845471	1.771902922
162	0.2854026614	1.77178819
163	0.2848738143	1.77167248
164	0.2846348963	1.771551729
165	0.2846662523	1.771423197
166	0.2849111582	1.771310455
167	0.2849051703	1.771186869
168	0.2867308128	1.771047785
169	0.2849051703	1.770951048
170	0.2859893319	1.770813273
171	0.2868345578	1.770657889
172	0.2881819272	1.770536433
173	0.2867980647	1.770400588
174	0.2868345578	1.770290296
175	0.2868345578	1.770195892
176	0.2857836378	1.770092053
177	0.2857836378	1.769977214
178	0.2857836378	1.769903606
179	0.2858220604	1.769810234
180	0.2855003458	1.769683623
181	0.2865788968	1.769578112
182	0.2865541733	1.769464566
183	0.2865601613	1.769376772
184	0.2879487326	1.769252908
185	0.2865601613	1.76913472
186	0.2855003458	1.768997758
187	0.2858304417	1.768897641
188	0.2858304417	1.768824438
189	0.2854877688	1.768715967
190	0.2869590902	1.768585797
191	0.2865392935	1.768448345
192	0.2875898144	1.768320384
193	0.2858600114	1.768179675
194	0.286629907	1.768046711
195	0.2865765939	1.767936834
196	0.2865788968	1.767857707
197	0.2866665703	1.767759657
198	0.2857982566	1.767657901
199	0.2850270916	1.767555142
200	0.2883465191	1.767422959
201	0.2865175469	1.767333139
202	0.2851254203	1.767222338
203	0.2840698347	1.767107899
204	0.2857538743	1.766969336
205	0.2857538743	1.766860487
206	0.2851140319	1.766757902
207	0.2850608983	1.766659663
208	0.2840060459	1.766551909
209	0.2840060459	1.76644816
210	0.2840414091	1.766344546
211	0.2855787429	1.76624411
212	0.283963789	1.766115854
213	0.283963789	1.766003726
214	0.2851121084	1.765874177
215	0.2872726156	1.765762415
216	0.2852292115	1.76567028
217	0.2852381425	1.765552679
218	0.2872726156	1.765449274
219	0.2872726156	1.765346265
220	0.2866394459	1.765261545
221	0.2866394459	1.765159723
222	0.2851032499	1.76505185
223	0.2865453711	1.76493867
224	0.2866394459	1.764811784
225	0.2866394459	1.764723732
226	0.2852337094	1.764595255
227	0.2852656111	1.764485012
228	0.2866394459	1.764388476
229	0.286630515	1.764273609
230	0.2866495682	1.764151951
231	0.2866394459	1.764075528
232	0.2866394459	1.763976098
233	0.2866394459	1.763911324
234	0.2866364912	1.76382047
235	0.2866364912	1.763749617
236	0.2866364912	1.763633624
237	0.2866364912	1.76351137
238	0.2852337094	1.763433958
239	0.2852337094	1.763335688
240	0.2852337094	1.76323431
241	0.2852337094	1.763099163
242	0.2852329762	1.76298516
243	0.2852656111	1.762898626
244	0.2866364912	1.762795871
245	0.2866364912	1.762693666
246	0.2866343284	1.762580705
247	0.286600111	1.762507214
248	0.286630515	1.762402385
249	0.286630515	1.762352403
250	0.286630515	1.762230749
251	0.286616226	1.762138087
252	0.2866464031	1.762043261
253	0.2866464031	1.761934723
254	0.2866464031	1.761855838
255	0.2866535311	1.761736189
256	0.2866535311	1.761625723
257	0.2866535311	1.761485544
258	0.2866535311	1.761359916
259	0.2866535311	1.761274123
260	0.2866535311	1.761189692
261	0.2858961539	1.761105332
262	0.2851280354	1.760982104
263	0.2858961539	1.760875797
264	0.2858961539	1.760775421
265	0.2858931991	1.760680585
266	0.2859020814	1.760550549
267	0.2857846641	1.760428661
268	0.2857988918	1.760306747
269	0.285807774	1.760197271
270	0.2858961539	1.760086003
271	0.2858961539	1.759939599
272	0.2858961539	1.759837158
273	0.2843992642	1.759719888
274	0.2858034311	1.75961912
275	0.2845093613	1.759477626
276	0.2844992996	1.759402599
277	0.2844992996	1.759308005
278	0.2844992996	1.759211282
279	0.2844904173	1.759118
280	0.2844904173	1.759035932
281	0.2855430684	1.758946064
282	0.2855430684	1.758853107
283	0.2855353652	1.758755122
284	0.2854590665	1.758667713
285	0.2847767849	1.75855205
286	0.2855519507	1.758461601
287	0.2846839007	1.75836333
288	0.2847874247	1.75825655
289	0.2846839007	1.758107508
290	0.2846945405	1.758018727
291	0.2846744318	1.757954525
292	0.2846744318	1.757869927
293	0.2846744318	1.75775045
294	0.2846661336	1.757613777
295	0.2846661336	1.757503213
296	0.2846661336	1.757414642
297	0.2846661336	1.757269357
298	0.2846530476	1.757203656
299	0.2846530476	1.757123545
300	0.2846530476	1.757015666
301	0.2846590056	1.756903401
302	0.2846590056	1.756839934
303	0.2846661336	1.756763667
304	0.2846661336	1.75671315
305	0.286068733	1.756626355
306	0.2846661336	1.756514541
307	0.2846661336	1.756441389
308	0.286075861	1.756368012
309	0.2846661336	1.756266662
310	0.2846661336	1.756154806
311	0.2839010366	1.75604533
312	0.285310764	1.755960951
313	0.2860845733	1.755866268
314	0.2874971472	1.755767678
315	0.2854123606	1.75567017
316	0.2860845733	1.755563985
317	0.2853129684	1.755464348
318	0.2853194764	1.755344235
319	0.2860845733	1.755263999
320	0.2868543962	1.7551235
321	0.2850122525	1.754987008
322	0.2868456839	1.754914713
323	0.2869472805	1.754828191
324	0.2860774453	1.754738652
325	0.2860714874	1.754633597
326	0.2860714874	1.754523297
327	0.2861595835	1.754401141
328	0.2861572348	1.754299722
329	0.2869347977	1.754232919
330	0.286074079	1.75410737
331	0.286074079	1.754022106
332	0.286074079	1.753937089
333	0.2850175985	1.753845385
334	0.286074079	1.753746375
335	0.286074079	1.753681142
336	0.286074079	1.753568725
337	0.286074079	1.753479583
338	0.2864136194	1.753372688
339	0.2864183536	1.753286514
340	0.2850223327	1.753153586
341	0.2850223327	1.753073147
342	0.2857957279	1.752981102
343	0.2850282373	1.75285341
344	0.2871852243	1.752768354
345	0.2871917488	1.752680928
346	0.2871917488	1.752549558
347	0.2871917488	1.752425897
348	0.2871785359	1.752355692
349	0.2864435334	1.752262928
350	0.2864435334	1.752174227
351	0.2864370049	1.752051153
352	0.2864435334	1.751960607
353	0.2864435334	1.751858164
354	0.2864316423	1.751756442
355	0.2864249539	1.751685201
356	0.2864249539	1.7515811
357	0.2864249539	1.751483563
358	0.2864249539	1.751409776
359	0.2864249539	1.751286409
360	0.2864249539	1.751199408
361	0.2864249539	1.751113448
362	0.2864249539	1.751024468
363	0.2864249539	1.750949949
364	0.2853604427	1.750864856
365	0.2864249539	1.750772552
366	0.2864316423	1.750654438
367	0.2864316423	1.750558302
368	0.2864316423	1.750453804
369	0.2872086098	1.750371522
370	0.2861374103	1.750295251
371	0.2861374103	1.750191231
372	0.2861374103	1.750084344
373	0.2861374103	1.749985904
374	0.2861374103	1.749905458
375	0.2861374103	1.74980591
376	0.2861045111	1.749679343
377	0.2853263278	1.749578792
378	0.2853263278	1.749490988
379	0.2867413723	1.749384533
380	0.2867413723	1.74930468
381	0.2867476824	1.749209852
382	0.2867413723	1.749109666
383	0.2868306351	1.74900029
384	0.2867413723	1.748909073
385	0.2875201509	1.748814293
386	0.2875201509	1.748736281
387	0.2875201509	1.748655575
388	0.2875175563	1.748586417
389	0.2876094137	1.748481174
390	0.2876094137	1.748389704
391	0.2876094137	1.748332738
392	0.2876094137	1.748222084
393	0.2876094137	1.748122379
394	0.2876094137	1.74803432
395	0.2876094137	1.747943116
396	0.2876094137	1.747880972
397	0.2876094137	1.7477486
398	0.2876141809	1.747626921
399	0.2876141809	1.747543065
400	0.2876141809	1.747464354
401	0.2890169064	1.747391936
402	0.2876131951	1.747307344
403	0.2876131951	1.747209542
404	0.2890151579	1.747109539
405	0.2889306735	1.747028961
406	0.2889306735	1.746946875
407	0.2878608127	1.746864611
408	0.2864550573	1.746788579
409	0.2865471046	1.746674567
410	0.2879516526	1.746553281
411	0.2879450951	1.746428625
412	0.2879480817	1.746353051
413	0.2879450951	1.74623368
414	0.2879450951	1.746132538
415	0.2879480817	1.74604379
416	0.2920870996	1.745948309
417	0.2920870996	1.745861156
418	0.2907164441	1.745778709
419	0.2879450951	1.745666619
420	0.2890207297	1.745618534
421	0.2920955063	1.745526533
422	0.2920955063	1.745415923
423	0.2920955063	1.745322489
424	0.2920955063	1.74522635
425	0.2893429924	1.745131065
426	0.2879516526	1.745059701
427	0.2890207297	1.744953948
428	0.2904204304	1.744871546
429	0.2893513533	1.74480117
430	0.2879516526	1.744698004
431	0.2879516526	1.74461716
432	0.2879516526	1.744546257
433	0.2907242302	1.74446135
434	0.2907242302	1.744340436
435	0.290330667	1.74425195
436	0.2917165095	1.744177369
437	0.290330667	1.74410875
438	0.290330667	1.744055916
439	0.2886771004	1.743931269
440	0.2889280789	1.743819155
441	0.2889280789	1.743753814
442	0.2889280789	1.743673346
443	0.2900725189	1.743563179
444	0.2903234974	1.743471209
445	0.2903390278	1.743354964
446	0.2909448509	1.743271103
447	0.2903390278	1.743191202
448	0.2896493427	1.74309717
449	0.2896493427	1.743042289
450	0.2904204304	1.742934647
451	0.2904204304	1.742873085
452	0.2904204304	1.742764649
453	0.2904299828	1.742703014
454	0.2903485803	1.742628486
455	0.2903390278	1.74252909
456	0.2900880493	1.742444039
457	0.2900976018	1.742353079
458	0.2903390278	1.742224439
459	0.2903390278	1.742122689
460	0.2903416224	1.74201623
461	0.2903416224	1.741916818
462	0.294482469	1.741811798
463	0.2944798744	1.741746847
464	0.2944798744	1.741682598
465	0.2937044987	1.741587641
