iter	Passed	Remaining
0	6	615
1	12	590
2	17	579
3	23	555
4	29	551
5	34	537
6	38	516
7	43	504
8	47	484
9	51	464
10	56	455
11	61	449
12	64	433
13	68	422
14	72	413
15	77	406
16	81	396
17	85	387
18	89	382
19	93	374
20	96	363
21	99	354
22	103	346
23	107	341
24	111	333
25	114	325
26	117	318
27	122	314
28	126	308
29	129	301
30	132	294
31	136	290
32	140	285
33	143	279
34	147	273
35	151	270
36	155	265
37	158	259
38	162	253
39	165	248
40	169	243
41	172	238
42	175	233
43	179	228
44	183	224
45	187	219
46	190	214
47	193	209
48	197	205
49	200	200
50	204	196
51	207	191
52	210	186
53	214	183
54	218	178
55	221	174
56	224	169
57	228	165
58	232	161
59	235	157
60	239	152
61	242	148
62	246	144
63	249	140
64	252	136
65	256	131
66	260	128
67	263	123
68	266	119
69	270	115
70	273	111
71	277	108
72	281	104
73	284	100
74	288	96
75	291	92
76	295	88
77	299	84
78	302	80
79	306	76
80	310	72
81	313	68
82	317	64
83	320	61
84	324	57
85	327	53
86	331	49
87	334	45
88	337	41
89	341	37
90	344	34
91	347	30
92	350	26
93	354	22
94	357	18
95	360	15
96	363	11
97	367	7
98	370	3
99	373	0
